Receiver,FISHID,x_plane,y_plane,Total.Length,Sex,Year,Month,Month.NUM,Day.of.month,Time,Year.3,Date,Day.of.year,Time.Hr,Hour.of.year,Day,location,Rec_Group,water_feature_type
109374,1680,405691,5772105,640,m,2011,January,1,3,1,2011,03/01/2011,3,17,51,40546,NE Red rock harbour,Confluence,Reservoir
109373,1664,429210,5756967,545,m,2011,January,1,3,1,2011,03/01/2011,3,18,54,40546,Kinbasket Lake,Columbia Reach Narrows to Kinbasket,delta
109373,1664,429210,5756967,545,m,2011,January,1,3,1,2011,03/01/2011,3,19,57,40546,Kinbasket Lake,Columbia Reach Narrows to Kinbasket,delta
109386,1702,398223,5774034,712,f,2011,January,1,3,1,2011,03/01/2011,3,19,57,40546,South outer forebay,Confluence,Reservoir
109370,1630,404815,5778642,601,m,2011,January,1,3,1,2011,03/01/2011,3,22,66,40546,Mouth of Wood Arm,Confluence,delta
109388,1644,390250,5802279,555,m,2011,January,1,3,1,2011,03/01/2011,3,23,69,40546,Lower Canoe dog leg,Foster Creek to Hugh Allan,Reservoir
109370,1950,404815,5778642,603,f,2011,January,1,4,1,2011,04/01/2011,4,1,4,40547,Mouth of Wood Arm,Confluence,delta
109370,1950,404815,5778642,603,f,2011,January,1,4,1,2011,04/01/2011,4,2,8,40547,Mouth of Wood Arm,Confluence,delta
109370,1698,404815,5778642,635,m,2011,January,1,4,1,2011,04/01/2011,4,3,12,40547,Mouth of Wood Arm,Confluence,delta
109369,1692,401855,5772877,595,f,2011,January,1,4,1,2011,04/01/2011,4,8,32,40547,Red rock (middle),Confluence,Reservoir
109379,1704,396221,5775179,741,f,2011,January,1,4,1,2011,04/01/2011,4,8,32,40547,North outer confluence,Confluence,Reservoir
109369,1692,401855,5772877,595,f,2011,January,1,4,1,2011,04/01/2011,4,11,44,40547,Red rock (middle),Confluence,Reservoir
107324,1584,374163,5827291,620,f,2011,January,1,4,1,2011,04/01/2011,4,12,48,40547,Ptarmigan Creek,Between Bulldog and Ptarmigan,delta
109369,1690,401855,5772877,529,m?,2011,January,1,4,1,2011,04/01/2011,4,14,56,40547,Red rock (middle),Confluence,Reservoir
109370,1950,404815,5778642,603,f,2011,January,1,4,1,2011,04/01/2011,4,15,60,40547,Mouth of Wood Arm,Confluence,delta
109372,1692,403287,5772706,595,f,2011,January,1,4,1,2011,04/01/2011,4,16,64,40547,SE Red rock,Confluence,Reservoir
109370,1630,404815,5778642,601,m,2011,January,1,4,1,2011,04/01/2011,4,17,68,40547,Mouth of Wood Arm,Confluence,delta
109370,1630,404815,5778642,601,m,2011,January,1,4,1,2011,04/01/2011,4,18,72,40547,Mouth of Wood Arm,Confluence,delta
109391,1612,401896,5781275,606,f,2011,January,1,4,1,2011,04/01/2011,4,19,76,40547,Molson Creek (replaced),Confluence,Reservoir
109370,1630,404815,5778642,601,m,2011,January,1,4,1,2011,04/01/2011,4,19,76,40547,Mouth of Wood Arm,Confluence,delta
107325,1758,456148,5730006,826,m,2011,January,1,4,1,2011,04/01/2011,4,21,84,40547,Gold Creek,Bush Arm,delta
109391,1612,401896,5781275,606,f,2011,January,1,4,1,2011,04/01/2011,4,22,88,40547,Molson Creek (replaced),Confluence,Reservoir
109370,1630,404815,5778642,601,m,2011,January,1,4,1,2011,04/01/2011,4,22,88,40547,Mouth of Wood Arm,Confluence,delta
